data_owner;location_code;location_name;xy;dups;modelNames;station_name;descriptive_name;What to do?
Rijkswaterstaat;SPRUIT;Spruit;6.4393_53.5111;FALSE;NA;SPRUIT;Spruit;
IMR;eu_M113;M113;6.45_57.05;FALSE;NA;M113;M113;
IMR;eu_M121;M121;6.45_57.11;FALSE;NA;M121;M121;
IMR;eu_M720;M720;6.45_61.81;FALSE;NA;M720;M720;
IMR;eu_M725;M725;6.45_61.83;FALSE;NA;M725;M725;
Rijkswaterstaat;donar_ZUIDOLWNOT;ZUIDOLWNOT;6.4522_53.4832;TRUE;NA;ZUIDOLWNOT;Zuid Oost Lauwers noordoost;
Rijkswaterstaat;ZUIDOLWNOT;Zuid Oost Lauwers noordoost;6.4522_53.4832;FALSE;NA;ZUIDOLWNOT;Zuid Oost Lauwers noordoost;
Rijkswaterstaat;LAUWZD;Lauwers zuid;6.4528_53.5065;FALSE;NA;LAUWZD;Lauwers zuid;
Rijkswaterstaat;PIETBRWD1;Pieterburenwad 1;6.453_53.4571;FALSE;NA;PIETBRWD1;Pieterburenwad 1;
RBINS;eu_E1329_GKSS;E1329_GKSS;6.478_55.501;FALSE;NA;E1329_GKSS;E1329_GKSS;
IMR;eu_M327;M327;6.49_59.03;FALSE;NA;M327;M327;
Rijkswaterstaat;donar_ZUIDOLWOT;ZUIDOLWOT;6.5135_53.4491;TRUE;NA;ZUIDOLWOT;Zuid Oost Lauwers oost;
Rijkswaterstaat;ZUIDOLWOT;Zuid Oost Lauwers oost;6.5135_53.4491;FALSE;NA;ZUIDOLWOT;Zuid Oost Lauwers oost;
Rijkswaterstaat;BOSCHNOT;Boschnaad oost;6.5232_53.498;FALSE;NA;BOSCHNOT;Boschnaad oost;
IMR;eu_M546;M546;6.53_60.07;FALSE;NA;M546;M546;
IMR;eu_M550;M550;6.53_60.11;FALSE;NA;M550;M550;
IMR;eu_M228;M228;6.55_58.01;FALSE;NA;M228;M228;
IMR;eu_M322;M322;6.55_59.01;FALSE;NA;M322;M322;
IMR;eu_M328;M328;6.55_59.03;FALSE;NA;M328;M328;
IMR;eu_M549;M549;6.55_60.09;FALSE;NA;M549;M549;
IMR;eu_M553;M553;6.55_60.13;FALSE;NA;M553;M553;
IMR;eu_M555;M555;6.55_60.17;FALSE;NA;M555;M555;
RBINS;eu_R0137_GKSS;R0137_GKSS;6.5543_53.738;FALSE;NA;R0137_GKSS;R0137_GKSS;
Rijkswaterstaat;ROTTMPT3;Rottumerplaat 3 km uit de kust;6.5628_53.5654;FALSE;NA;ROTTMPT3;Rottumerplaat 3 km uit de kust;
IMR;eu_M229;M229;6.57_58.01;FALSE;NA;M229;M229;
IMR;eu_M330;M330;6.57_59.05;FALSE;NA;M330;M330;
IMR;eu_M556;M556;6.57_60.17;FALSE;NA;M556;M556;
IMR;eu_M589;M589;6.57_60.45;FALSE;NA;M589;M589;
RBINS;eu_C6109000;C6109000;6.5802_53.8693;FALSE;NA;C6109000;C6109000;
Rijkswaterstaat;donar_NOORDPDZL;NOORDPDZL;6.5823_53.4329;FALSE;NA;NOORDPDZL;NOORDPDZL;
RBINS;eu_C5046000;C5046000;6.5833_53.8683;FALSE;NA;C5046000;C5046000;
RBINS;eu_E1324_GKSS;E1324_GKSS;6.586_56.498;FALSE;NA;E1324_GKSS;E1324_GKSS;
IMR;eu_M146;M146;6.59_57.37;FALSE;NA;M146;M146;
IMR;eu_M230;M230;6.59_58.01;FALSE;NA;M230;M230;
IMR;eu_M561;M561;6.59_60.25;FALSE;NA;M561;M561;
IMR;eu_M147;M147;6.61_57.37;FALSE;NA;M147;M147;
RBINS;eu_C5047000;C5047000;6.6117_53.7783;FALSE;NA;C5047000;C5047000;
RBINS;eu_C6108000;C6108000;6.62_53.7873;FALSE;NA;C6108000;C6108000;
IMR;eu_M331;M331;6.63_59.05;FALSE;NA;M331;M331;
IMR;eu_M564;M564;6.63_60.31;FALSE;NA;M564;M564;
IMR;eu_M582;M582;6.63_60.33;FALSE;NA;M582;M582;
RBINS;eu_C5048000;C5048000;6.6467_53.755;FALSE;NA;C5048000;C5048000;
RBINS;eu_R0117_GKSS;R0117_GKSS;6.6515_55.4053;FALSE;NA;R0117_GKSS;R0117_GKSS;
Rijkswaterstaat;donar_HUIBGOT;HUIBGOT;6.6612_53.5591;TRUE;NA;HUIBGOT;Huibertgat oost;
Rijkswaterstaat;HUIBGOT;Huibertgat oost;6.6612_53.5591;FALSE;NA;HUIBGOT;Huibertgat oost;
Rijkswaterstaat;OUDWTEND;Oude Westereems noord;6.6629_53.5284;FALSE;NA;OUDWTEND;Oude Westereems noord;
Rijkswaterstaat;donar_RA;RA;6.6637_53.4791;TRUE;NA;RA;RA;
Rijkswaterstaat;RA;Ra;6.6637_53.4791;FALSE;NA;RA;RA;
IMR;eu_M49;M49;6.67_56.99;FALSE;NA;M49;M49;
IMR;eu_M97;M97;6.67_57.01;FALSE;NA;M97;M97;
IMR;eu_M586;M586;6.67_60.39;FALSE;NA;M586;M586;
RBINS;eu_C6107000;C6107000;6.6707_53.7078;FALSE;NA;C6107000;C6107000;
RBINS;eu_E1314_GKSS;E1314_GKSS;6.6727_54.7632;FALSE;NA;E1314_GKSS;E1314_GKSS;
RBINS;eu_C6106000;C6106000;6.6765_53.6339;FALSE;NA;C6106000;C6106000;
RBINS;eu_C5049000;C5049000;6.6833_53.9067;FALSE;NA;C5049000;C5049000;
RBINS;eu_R0145_GKSS;R0145_GKSS;6.6863_53.9355;FALSE;NA;R0145_GKSS;R0145_GKSS;
IMR;eu_M50;M50;6.69_56.99;FALSE;NA;M50;M50;
IMR;eu_M98;M98;6.69_57.01;FALSE;NA;M98;M98;
Rijkswaterstaat;donar_OUDWTES;OUDWTES;6.6972_53.4962;TRUE;NA;OUDWTES;Oude Westereems;
Rijkswaterstaat;OUDWTES;Oude Westereems;6.6972_53.4962;FALSE;NA;OUDWTES;Oude Westereems;
IMR;eu_M99;M99;6.71_57.01;FALSE;NA;M99;M99;
RBINS;eu_C5050000;C5050000;6.7133_54.0367;FALSE;NA;C5050000;C5050000;
Rijkswaterstaat;RANSGT;Ranselgat;6.7238_53.5276;FALSE;NA;RANSGT;Ranselgat;
